XML Path,Field Name,Description,10037 Rebecca Data,Source,Status,Notes
//agent/address/company,Company Name,Brokerage name,Compass,TheGenie Profile,COMPLETE,Or Inspired.RE?
//agent/address/street,Street Address,Office address,,TheGenie Profile,NEEDS INPUT,Office street address?
//agent/address/city,City,Office city,San Antonio,TheGenie Profile,COMPLETE,
//agent/address/state,State,Office state,TX,TheGenie Profile,COMPLETE,
//agent/address/zip,Zip,Office zip,,TheGenie Profile,NEEDS INPUT,Office zip code?
===== AREA DATA =====,,,,,,
//area/id,Area ID,GenieCloud area ID,407559,TheGenie System,COMPLETE,Balcones Creek - All Neighborhoods
//area/name,Area Name,Neighborhood name,Balcones Creek,TheGenie System,COMPLETE,Area name for widgets
//area/centerLat,Center Latitude,Map center lat,29.6547,Geocoding,COMPLETE,Approximate
//area/centerLng,Center Longitude,Map center lng,-98.4936,Geocoding,COMPLETE,Approximate
===== LISTING DATA (SINGLE) =====,,,,,,
//single/mlsNumber,PLS Number,Listing ID,PLS-2025-001,PLS System,COMPLETE,Paisley Listing Service ID
//single/price,List Price,Asking price,,NEEDS INPUT,BLANK,What's the list price?
//single/listed,List Date,Date listed,12/25/2025,PLS System,COMPLETE,Today's date
//single/type,Property Type,Home/Condo/etc,Single Family,Attom/Manual,COMPLETE,
//single/listingStatus,Listing Status,Text status,Coming Soon,PLS System,COMPLETE,Or "Private Listing"
//single/statusTypeID,Status Type ID,1=Active 2=Sold 4=Pending 5=ComingSoon,5,PLS System,COMPLETE,5 = Coming Soon (new status)
//single/description,Description,Property description,,NEEDS INPUT,BLANK,Property description text?
//single/photoPrimary,Primary Photo,Main listing photo,https://genie-cloud-stage.s3.us-west-1.amazonaws.com/genie-pages/10037-rebecca-coming-soon/photos/front-of-home.jpg,S3 Upload,COMPLETE,Uploaded front photo
//single/squareFeet,Square Feet,Living area,3018,Attom/Tax,COMPLETE,From tax records
//single/lotSize,Lot Size,Lot square feet,7405,Attom/Tax,COMPLETE,0.17 acres = ~7405 sqft
//single/built,Year Built,Construction year,2022,Attom/Tax,COMPLETE,From tax records
//single/latitude,Latitude,Property lat,29.654321,Geocoding,COMPLETE,Need exact coords
//single/longitude,Longitude,Property lng,-98.493456,Geocoding,COMPLETE,Need exact coords
//single/city,City,Property city,San Antonio,Property Data,COMPLETE,
//single/bedrooms/@count,Bedrooms,Number of beds,4,Attom/Tax,COMPLETE,From tax records
//single/bathrooms/@total,Bathrooms Total,Total baths,3,Attom/Tax,COMPLETE,From tax records
//single/bathrooms/@full,Bathrooms Full,Full baths,2,NEEDS CONFIRM,VERIFY,Is it 2 full + 1 half?
//single/bathrooms/@half,Bathrooms Half,Half baths,1,NEEDS CONFIRM,VERIFY,Or 3 full?
//single/parking/@spaces,Parking Spaces,Total parking,2,NEEDS INPUT,ESTIMATED,Total parking spots?
//single/parking/@garage,Garage Spaces,Garage capacity,2,NEEDS INPUT,ESTIMATED,2-car garage?
//single/address/streetNumber,Street Number,House number,10037,Property Data,COMPLETE,
//single/address/street,Full Street,Full address line,10037 Rebecca Place,Property Data,COMPLETE,
//single/address/streetName,Street Name,Street only,Rebecca Place,Property Data,COMPLETE,
//single/address/city,City,Property city,San Antonio,Property Data,COMPLETE,
//single/address/state,State,Property state,TX,Property Data,COMPLETE,
//single/address/zip,Zip,Property zip,78254,Property Data,COMPLETE,Balcones Creek area
//single/virtualTourUrl,Virtual Tour,3D tour URL,,NEEDS INPUT,BLANK,Any virtual tour available?
===== IMAGES =====,,,,,,
//single/images/image[1],Photo 1,Primary/Front,https://genie-cloud-stage.s3.us-west-1.amazonaws.com/genie-pages/10037-rebecca-coming-soon/photos/front-of-home.jpg,S3 Upload,COMPLETE,Front of home
//single/images/image[2],Photo 2,Kitchen 1,https://genie-cloud-stage.s3.us-west-1.amazonaws.com/genie-pages/10037-rebecca-coming-soon/photos/kitchen-1.jpg,S3 Upload,COMPLETE,Kitchen photo 1
//single/images/image[3],Photo 3,Kitchen 2,https://genie-cloud-stage.s3.us-west-1.amazonaws.com/genie-pages/10037-rebecca-coming-soon/photos/kitchen-2.jpg,S3 Upload,COMPLETE,Kitchen photo 2
//single/images/image[4],Photo 4,Backyard 1,https://genie-cloud-stage.s3.us-west-1.amazonaws.com/genie-pages/10037-rebecca-coming-soon/photos/backyard-1.jpg,S3 Upload,COMPLETE,Backyard photo 1
//single/images/image[5],Photo 5,Backyard 2,https://genie-cloud-stage.s3.us-west-1.amazonaws.com/genie-pages/10037-rebecca-coming-soon/photos/backyard-2.jpg,S3 Upload,COMPLETE,Backyard photo 2
===== STATUS OPTIONS (PLS Feature) =====,,,,,,
statusTypeID = 1,Active,Standard MLS Active,,Reference,INFO,Existing status
statusTypeID = 2,Sold,Standard MLS Sold,,Reference,INFO,Existing status
statusTypeID = 4,Pending,Standard MLS Pending,,Reference,INFO,Existing status
statusTypeID = 5,Coming Soon,PLS Coming Soon,,PLS NEW,INFO,NEW - Pre-listing status
statusTypeID = 6,Private Listing,PLS Private Listing,,PLS NEW,INFO,NEW - Off-market status

